d,p,c,o,f,g,weight,coef_estimates
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.1870880714634459,176.8376428979812
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.021275968314660065,-9.966372032115007
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.14413365802037756,34.42958870404523
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.0307986823499988,-7.884583571224732
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.00828689930115986,-0.4963855365488199
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Pseudohongiellaceae, g__Pseudohongiella,0.0279895947455753,29.444615833049532
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Rubritaleaceae, g__Roseibacillus,0.04216135912459363,52.86657453595092
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Ectothiorhodospirales, f__Ectothiorhodospiraceae, g__uncultured,0.020856592198859564,5.091406380452751
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.13955002220208484,138.05760442587882
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__MB11C04_marine_group,0.039510592733029336,-0.8317045047451254
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.009201005346252568,-5.248579451311687
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.1724743507544584,68.43917984387942
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.019826468938842275,-3.0424590292328677
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.016754482307089917,-27.4717210369638
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.00583452903054407,-1.822690561385664
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade,0.009850670704755907,-10.98890796739346
d__Bacteria, p__SAR324_clade(Marine_group_B), c__SAR324_clade(Marine_group_B), o__SAR324_clade(Marine_group_B), f__SAR324_clade(Marine_group_B), g__SAR324_clade(Marine_group_B),0.014122475427127894,-1.5842981086769221
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.004912957214138608,-0.506188894850251
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.004178274812385619,-1.0873482170158975
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.011421265701019518,-0.776665442197629
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.01875642130418617,-1.5486002482377512
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.00460185248153539,3.524229309832434
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.03568458910970013,-22.399170029526946
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__Pelagicoccus,0.006574485456521276,-1.0495006690204491
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.1457606838557048,-33.750715251840305
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.04025460011579386,-23.269589707485103
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.13478739080226443,-30.890133657987384
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.005108749930882638,3.878473147570662
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.569979023439459,86.77321119932249
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.04929420294928405,-13.385848928575196
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Cryomorphaceae, g__uncultured,0.07428482685992874,-18.656900147744842
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.004932678558199193,-1.6189138875305826
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Ectothiorhodospirales, f__Ectothiorhodospiraceae, g__uncultured,0.0037224151471687322,-0.6932016669114376
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.004512840735707728,-1.1680960556111213
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__OM43_clade,0.045070364234619464,-2.5951815469269746
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.05324943941061974,-5.605676970876778
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.1637737729709831,72.34576847652215
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.06949331476739495,-30.60808451311703
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Synechococcus_CC9902,0.035349872359724976,-7.8521960433336595
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.04053956475748659,3.3067077646711454
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.010808417039827581,4.166684333722384
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.0376087114134784,66.28613147024151
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.010120831229030526,-2.897401308337246
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Porticoccaceae, g__Porticoccus,0.006464440246562268,-2.470435033066182
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Defluviicoccales, f__uncultured, g__uncultured,0.02904495694845108,26.933863500900216
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.00978447504319548,-4.921588511119815
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Crocinitomicaceae, g__Fluviicola,0.020984356048597334,-8.018820754778378
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,NA,0.19582031306153463,34.32850728719019
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.008505876827353643,-5.572357602872721
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.010989278759124492,-1.38248337251714
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Microtrichaceae, g__Sva0996_marine_group,0.006053800215790234,-1.5585354893740084
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.12954949517773048,-11.401281853590511
d__Bacteria, p__Chloroflexi, c__Dehalococcoidia, o__SAR202_clade, f__SAR202_clade, g__SAR202_clade,0.03946927246339071,-10.041051777998153
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.08136522522149507,-38.051968263445325
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.11650257851077642,33.288351063862216
d__Archaea, p__Crenarchaeota, c__Nitrososphaeria, o__Nitrosopumilales, f__Nitrosopumilaceae, g__Candidatus_Nitrosopelagicus,0.016410988182471536,-2.9102744281210855
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,1.0301282633852977,30.452151021559946
d__Bacteria, p__Deinococcota, c__Deinococci, o__Thermales, f__Thermaceae, g__Thermus,0.01992159124052813,-16.862030651658927
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__uncultured,0.028849126506286217,-13.477314243946259
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.03918220135058014,-1.0532750233922323
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.02326085909021386,-9.046380168364934
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.006543907325202408,-0.5477528746223812
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.025841280051224845,-3.6597414427420163
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Synechococcus_CC9902,0.005618453902820346,5.3312163819070335
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.060779805435887395,10.657126278406983
d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__CL500-3,0.0011964764313797816,-2.6314273574666194
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__OM43_clade,0.03494386266773686,-4.743772426875854
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Thalassobaculales, f__uncultured, g__uncultured,0.007782815155265046,5.256154606743905
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.01041086008932448,-9.33010390763419
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Microtrichaceae, g__Sva0996_marine_group,0.004741205157818452,-0.6753641997952431
d__Archaea, p__Crenarchaeota, c__Nitrososphaeria, o__Nitrosopumilales, f__Nitrosopumilaceae, g__Candidatus_Nitrosopumilus,0.029169914137887595,-8.851571283699334
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade,0.011325684836222804,-5.413792924656722
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cyclobacteriaceae, g__Marinoscillum,0.06605173965799775,-21.562213956608435
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.005261654312616051,-3.5519411590127024
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.017313917654030623,4.344048775441883
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.001550365883867987,-1.723312881080541
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.007374943996932631,0.19241357743222043
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.0049496160859313675,-0.3048268630238269
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Amylibacter,0.10806496485526955,-14.658268522819716
d__Bacteria, p__Dadabacteria, c__Dadabacteriia, o__Dadabacteriales, f__Dadabacteriales, g__Dadabacteriales,0.019312039063690212,-0.9415786890996882
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.024459305516556347,-9.616189929432034
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiomicrospirales, f__Thioglobaceae, g__SUP05_cluster,0.05946268988013372,-13.895172194855142
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.0024819758042730856,-1.788909680931891
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__Lentimonas,0.0260481853072444,-1.0948968917767683
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Ga0077536, f__Ga0077536, g__Ga0077536,0.014864987020938214,-2.1429543057883813
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Rhodopirellula,0.013442814007147905,-0.6967900759281959
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.01030682781798716,-3.6278792313132673
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Roseobacter_clade_NAC11-7_lineage,0.06110054677390221,-6.085285451539938
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.03887457304445907,1.369138456862789
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,7.430247202946653e-4,-0.028887471805532167
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__Lentimonas,0.045670810149483675,2.8004114900974946
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__Parahaliea,0.003093807413668184,-3.523395191195318
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.0029842103930515095,-2.904091528241818
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.022940349427575196,0.6288233768221381
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.020907397384769565,-0.6711184772379406
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.08080384010053772,-24.572411042988023
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.2612132208221748,-25.688797774330034
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Ilumatobacteraceae, g__uncultured,0.0037448141782803947,-1.219278515140143
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.010041725689327534,-0.2964793489010966
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.001665773868814859,2.982827529855366
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.021292968945075878,-13.578222185604774
d__Bacteria, p__Desulfobacterota, c__uncultured, o__uncultured, f__uncultured, g__uncultured,0.001724280389542148,-3.003147532660307
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__UBA10353_marine_group, f__UBA10353_marine_group, g__UBA10353_marine_group,0.0026336865569965597,-0.4838533922321334
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.05709902327882134,-18.946546809598953
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.034600959658097015,-6.822133577712152
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.0013622973861595873,0.026772834875521657
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,NA,0.04439066702120039,-9.12423729128453
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__MWH-UniP1_aquatic_group, g__MWH-UniP1_aquatic_group,0.013688430803021161,7.039952602239415
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.012830589540097059,-2.8665067826404336
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__SCGC_AAA164-E04,0.012973819423407048,-1.2815858153813444
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Thermoplasmata, f__Thermoplasmata, g__Marine_Group_III,0.048837462558360835,1.1133738776312838
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Pseudohongiellaceae, g__Pseudohongiella,0.01858601711320414,-0.24197969907935457
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__Rubinisphaeraceae, g__uncultured,0.008647771959028794,-0.48383162750642045
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.8834554288053803,29.256623783968166
