Citation,Title,URL,Notes,Whale species,Connection,Collected/observed in what?,Location,Method,Category from citation,Common name,Kingdom,Phylum,Class,Order,Infraorder,Family,Genus,Accepted Name,API_Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Gadid,Walleye pollock,Animalia,Chordata,Teleostei,Gadiformes,nan,Gadidae,nan,Gadus chalcogrammus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Gadid,Pacific grenadier,Animalia,Chordata,Teleostei,Gadiformes,nan,Macrouridae,nan,Coryphaenoides acrolepis,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Salmon,Chinook salmon,Animalia,Chordata,Teleostei,Salmoniformes,nan,Salmonidae,nan,Oncorhynchus tshawytscha,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Salmon,Coho salmon,Animalia,Chordata,Teleostei,Salmoniformes,nan,Salmonidae,nan,Oncorhynchus kisutch,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Salmon,Chum salmon,Animalia,Chordata,Teleostei,Salmoniformes,nan,Salmonidae,nan,Oncorhynchus keta,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Salmon,Pink salmon,Animalia,Chordata,Teleostei,Salmoniformes,nan,Salmonidae,nan,Oncorhynchus gorbuscha,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Salmon,Sockeye salmon,Animalia,Chordata,Teleostei,Salmoniformes,nan,Salmonidae,nan,Oncorhynchus nerka,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Perch,Shiner perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,nan,Embiotocidae,nan,Cymatogaster aggregata,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Perch,Striped seaperch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,nan,Embiotocidae,nan,Embiotoca lateralis,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Perch,Kelp perch,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,nan,Embiotocidae,nan,Brachyistius frenatus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Flatfish,Butter sole,Animalia,Chordata,Teleostei,Pleuronectiformes,nan,Pleuronectidae,nan,Isopsetta isolepis,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Scalyhead sculpin,Animalia,Chordata,Teleostei,Perciformes,nan,Cottidae,nan,Artedius harringtoni,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Buffalo sculpin,Animalia,Chordata,Teleostei,Perciformes,nan,Cottidae,nan,Enophrys bison,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Red Irish lord,Animalia,Chordata,Teleostei,Perciformes,nan,Cottidae,nan,Hemilepidotus hemilepidotus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Plain sculpin,Animalia,Chordata,Teleostei,Perciformes,nan,Cottidae,nan,Myoxocephalus jaok,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Padded sculpin,Animalia,Chordata,Teleostei,Perciformes,nan,Cottidae,nan,Artedius fenestralis,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Slimy sculpin,Animalia,Chordata,Teleostei,Perciformes,nan,Cottidae,nan,Cottus cognatus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Prickly sculpin,Animalia,Chordata,Teleostei,Perciformes,nan,Cottidae,nan,Cottus asper,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Sculpin,Cabezon,Animalia,Chordata,Teleostei,Perciformes,nan,Jordaniidae,nan,Scorpaenichthys marmoratus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Unknown rockfish,Animalia,Chordata,Teleostei,Perciformes,nan,Sebastidae,Sebastes,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,California headlight,Animalia,Chordata,Teleostei,Myctophiformes,nan,Myctophidae,nan,Diaphus theta,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,High cockscomb,Animalia,Chordata,Teleostei,Perciformes,nan,Stichaeidae,nan,Anoplarchus purpurescens,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Penpoint gunnel,Animalia,Chordata,Teleostei,Perciformes,nan,Pholidae,nan,Apodichthys flavidus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Ribbon prickleback,Animalia,Chordata,Teleostei,Perciformes,nan,Stichaeidae,nan,Phytichthys chirus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Sablefish,Animalia,Chordata,Teleostei,Perciformes,nan,Anoplopomatidae,nan,Anoplopoma fimbria,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Three-spined stickleback,Animalia,Chordata,Teleostei,Perciformes,nan,Gasterosteidae,nan,Gasterosteus aculeatus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Tube-snout,Animalia,Chordata,Teleostei,Perciformes,nan,Aulorhynchidae,nan,Aulorhynchus flavidus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Unidentified bones,nan,nan,nan,nan,nan,nan,nan,,No Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Krill,Animalia,Arthropoda,Malacostraca,Euphausiacea,nan,Euphausiidae,nan,Euphausia pacifica,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Krill,Animalia,Arthropoda,Malacostraca,Euphausiacea,nan,Euphausiidae,nan,Thysanoessa spinifera,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Krill,Animalia,Arthropoda,Malacostraca,Euphausiacea,nan,Euphausiidae,nan,Thysanoessa raschii,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,nan,Sergestidae,nan,Sergestes similis,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Shrimp,Animalia,Arthropoda,Malacostraca,Mysida,nan,Mysidae,Neomysis,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Shrimp,Animalia,Arthropoda,Malacostraca,Mysida,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,nan,Thoridae,nan,Eualus avinus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Caridea,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Shrimp,Animalia,Arthropoda,Malacostraca,Cumacea,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,True crab (megalopa),Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,True crab,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Non-true crab,Animalia,Arthropoda,Malacostraca,Decapoda,Anomura,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Squat lobster,Animalia,Arthropoda,Malacostraca,Decapoda,nan,Galatheidae,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Decapod,Animalia,Arthropoda,Malacostraca,Decapoda,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Copepod,Animalia,Arthropoda,Copepoda,Cyclopoida,nan,Corycaeidae,nan,Ditrichocorycaeus anglicus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Copepod,Animalia,Arthropoda,Copepoda,Calanoida,nan,Acartiidae,nan,Acartia longiremis,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Copepod,Animalia,Arthropoda,Copepoda,Calanoida,nan,Calanidae,nan,Calanus pacificus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Copepod,Animalia,Arthropoda,Copepoda,Calanoida,nan,Candaciidae,nan,Candacia columbiae,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Hyperiid amphipod,Animalia,Arthropoda,Malacostraca,Amphipoda,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Ostracod,Animalia,Arthropoda,Ostracoda,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Crustacean,Unidentified pieces,nan,nan,nan,nan,nan,nan,nan,,No Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Mollusk,Snail,Animalia,Mollusca,Gastropoda,Cephalaspidea,nan,Haminoeidae,nan,Haminoea vesicula,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Mollusk,Snail,Animalia,Mollusca,Gastropoda,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Mollusk,Cephalopod,Animalia,Mollusca,Cephalopoda,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Mollusk,Bivlave,Animalia,Mollusca,Bivalvia,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Bryozoan,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Foraminifera,Chromista,Retaria,Foraminifera,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Other,Hydromedusae,Animalia,Cnidaria,,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Segmented worm,Worm,Animalia,Annelida,Polychaeta,Phyllodocida,nan,Nereididae,nan,Platynereis bicanaliculata,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Segmented worm,Worm,Animalia,Annelida,Polychaeta,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Endoparasite,Worm,Animalia,Nematoda,Chromadorea,Rhabditida,nan,Anisakidae,nan,Anisakis simplex,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Endoparasite,Worm,Animalia,Nematoda,,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Endoparasite,Spiny-headed worm,Animalia,Acanthocephala,,,nan,,nan,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Organic,Baleen,nan,nan,nan,nan,nan,nan,nan,,No Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Organic,Bird feather,nan,nan,nan,nan,nan,nan,nan,,No Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Organic,Fur/hair (animal),nan,nan,nan,nan,nan,nan,nan,,No Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Organic,Plant material,nan,nan,nan,nan,nan,nan,nan,,No Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Inorganic,Seafloor sediments,nan,nan,nan,nan,nan,nan,nan,,No Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Inorganic,Plastic fibers,nan,nan,nan,nan,nan,nan,nan,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,Clostridium most dominant,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Clostridiaceae,Clostridium,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Sarcina,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,nan,Pasteurellaceae,Phocoenobacter,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Bacili,Lactobacillales,nan,Enterococcaceae,Enterococcus,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Oscillospira,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,nan,Vibrionaceae,Photobacterium,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Ruminococcaceae,Ruminococcus,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Eubacteriaceae,Eubacterium,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Ruminococcaceae,Faecalibacterium,,Response
